round,date,food,money,morale,members,season
1,Apr 1841,100,500,80,4,spring
2,Jun 1841,80,535,80,4,spring
3,Aug 1841,68,560,85,4,spring
4,Oct 1841,48,565,85,4,summer
5,Dec 1841,28,580,90,4,fall
6,Feb 1841,8,595,80,4,fall
7,Apr 1842,10,595,65,4,winter
8,Jun 1842,10,625,45,4,spring
9,Aug 1842,10,638,25,4,spring
10,Oct 1842,10,641,5,4,summer
11,Dec 1842,10,639,0,4,fall
12,Feb 1842,10,637,0,4,fall
13,Apr 1843,10,625,0,4,winter
14,Jun 1843,10,598,0,4,spring
15,Aug 1843,10,586,0,4,spring
16,Oct 1843,10,559,0,4,summer
17,Dec 1843,10,532,0,4,fall
18,Feb 1843,10,525,0,4,fall
19,Apr 1844,10,518,0,4,winter
20,Jun 1844,10,526,0,4,spring
21,Aug 1844,10,499,0,4,spring
22,Oct 1844,10,472,0,4,summer
23,Dec 1844,10,445,0,4,fall
24,Feb 1844,10,253,0,4,fall
25,Apr 1845,10,261,0,4,winter
26,Jun 1845,10,264,0,4,spring
27,Aug 1845,10,262,0,4,spring
28,Oct 1845,14,255,0,4,summer
29,Dec 1845,2,268,0,4,fall
30,Feb 1845,10,251,0,4,fall
