round,date,food,money,morale,members,season
1,Apr 1841,100,500,80,4,spring
2,Jun 1841,88,535,80,4,spring
3,Aug 1841,68,540,80,4,spring
4,Oct 1841,48,575,80,4,summer
5,Dec 1841,28,580,80,4,fall
6,Feb 1841,8,585,70,4,fall
7,Apr 1842,10,590,50,4,winter
8,Jun 1842,10,620,30,4,spring
9,Aug 1842,10,598,10,4,spring
10,Oct 1842,10,581,0,4,summer
11,Dec 1842,10,564,0,4,fall
12,Feb 1842,10,537,0,4,fall
13,Apr 1843,10,510,0,4,winter
14,Jun 1843,10,503,0,4,spring
15,Aug 1843,10,506,0,4,spring
16,Oct 1843,10,489,0,4,summer
17,Dec 1843,10,472,0,4,fall
18,Feb 1843,10,455,0,4,fall
19,Apr 1844,10,438,0,4,winter
20,Jun 1844,10,431,0,4,spring
21,Aug 1844,10,414,0,4,spring
22,Oct 1844,10,387,0,4,summer
23,Dec 1844,10,390,0,4,fall
24,Feb 1844,10,183,0,4,fall
25,Apr 1845,10,176,0,4,winter
26,Jun 1845,10,149,0,4,spring
27,Aug 1845,10,132,0,4,spring
28,Oct 1845,10,105,0,4,summer
29,Dec 1845,10,78,0,4,fall
30,Feb 1845,10,61,0,4,fall
