round,date,food,money,morale,members,season
1,Apr 1841,100,500,80,4,spring
2,Jun 1841,88,505,85,4,spring
3,Aug 1841,68,525,85,4,spring
4,Oct 1841,48,550,85,4,summer
5,Dec 1841,28,565,85,4,fall
6,Feb 1841,8,580,75,4,fall
7,Apr 1842,10,585,55,4,winter
8,Jun 1842,10,590,35,4,spring
9,Aug 1842,10,598,20,4,spring
10,Oct 1842,10,586,0,4,summer
11,Dec 1842,10,559,0,4,fall
12,Feb 1842,10,532,0,4,fall
13,Apr 1843,10,505,0,4,winter
14,Jun 1843,10,478,0,4,spring
15,Aug 1843,10,451,0,4,spring
16,Oct 1843,10,424,0,4,summer
17,Dec 1843,10,397,0,4,fall
18,Feb 1843,10,370,0,4,fall
19,Apr 1844,10,358,0,4,winter
20,Jun 1844,10,346,0,4,spring
21,Aug 1844,10,319,0,4,spring
22,Oct 1844,10,307,0,4,summer
23,Dec 1844,10,295,0,4,fall
24,Feb 1844,10,68,0,4,fall
25,Apr 1845,10,41,0,4,winter
26,Jun 1845,10,24,0,4,spring
27,Aug 1845,6,27,0,4,spring
28,Oct 1845,10,10,0,4,summer
29,Dec 1845,3,13,0,3,fall
30,Feb 1845,0,6,0,3,fall
