round,date,food,money,morale,members,season
1,Apr 1841,100,500,80,5,spring
2,Jun 1841,80,525,75,5,spring
3,Aug 1841,60,550,50,5,spring
4,Oct 1841,40,555,50,5,summer
5,Dec 1841,20,560,50,5,fall
6,Feb 1841,10,548,48,5,fall
7,Apr 1842,1,566,44,5,winter
8,Jun 1842,10,574,41,5,spring
9,Aug 1842,10,552,37,5,spring
10,Oct 1842,10,540,32,5,summer
11,Dec 1842,10,528,29,5,fall
12,Feb 1842,10,506,25,5,fall
13,Apr 1843,10,479,20,5,winter
14,Jun 1843,10,457,16,5,spring
15,Aug 1843,10,450,20,5,spring
16,Oct 1843,10,423,16,5,summer
17,Dec 1843,10,416,13,5,fall
18,Feb 1843,10,389,9,5,fall
19,Apr 1844,10,372,8,5,winter
20,Jun 1844,6,375,6,5,spring
21,Aug 1844,10,360,50,5,spring
22,Oct 1844,10,345,50,5,summer
23,Dec 1844,10,330,50,5,fall
24,Feb 1844,10,115,50,5,fall
25,Apr 1845,10,100,50,5,winter
26,Jun 1845,10,85,50,5,spring
27,Aug 1845,10,70,50,5,spring
28,Oct 1845,10,55,50,5,summer
29,Dec 1845,10,33,46,5,fall
30,Feb 1845,6,51,42,5,fall
