round,date,food,money,morale,members,season
1,Apr 1841,100,500,80,4,spring
2,Jun 1841,84,515,78,4,spring
3,Aug 1841,68,520,73,4,spring
4,Oct 1841,52,515,69,4,summer
5,Dec 1841,36,530,61,4,fall
6,Feb 1841,20,545,52,4,fall
7,Apr 1842,10,523,48,4,winter
8,Jun 1842,18,541,42,4,spring
9,Aug 1842,2,564,37,4,spring
10,Oct 1842,10,557,30,4,summer
11,Dec 1842,2,590,33,4,fall
12,Feb 1842,10,578,28,4,fall
13,Apr 1843,10,561,22,4,winter
14,Jun 1843,10,554,19,4,spring
15,Aug 1843,10,562,16,4,spring
16,Oct 1843,10,535,15,4,summer
17,Dec 1843,2,528,12,4,fall
18,Feb 1843,10,501,9,4,fall
19,Apr 1844,10,474,8,4,winter
20,Jun 1844,2,447,7,4,spring
21,Aug 1844,10,430,6,4,spring
22,Oct 1844,10,413,4,4,summer
23,Dec 1844,10,376,14,4,fall
24,Feb 1844,10,169,11,4,fall
25,Apr 1845,10,132,11,4,winter
26,Jun 1845,2,125,9,4,spring
27,Aug 1845,2,118,7,4,spring
28,Oct 1845,10,91,6,4,summer
29,Dec 1845,2,94,4,4,fall
30,Feb 1845,10,97,3,4,fall
