round,date,food,money,morale,members,season
1,Apr 1841,100,500,80,4,spring
2,Jun 1841,84,525,74,4,spring
3,Aug 1841,68,530,71,4,spring
4,Oct 1841,52,535,68,4,summer
5,Dec 1841,36,550,66,4,fall
6,Feb 1841,20,555,62,4,fall
7,Apr 1842,10,540,59,4,winter
8,Jun 1842,10,570,50,4,spring
9,Aug 1842,10,583,46,4,spring
10,Oct 1842,10,596,40,4,summer
11,Dec 1842,10,574,35,4,fall
12,Feb 1842,10,562,30,4,fall
13,Apr 1843,10,550,27,4,winter
14,Jun 1843,10,558,23,4,spring
15,Aug 1843,2,551,20,4,spring
16,Oct 1843,10,524,16,4,summer
17,Dec 1843,10,517,13,4,fall
18,Feb 1843,10,505,12,4,fall
19,Apr 1844,10,508,10,4,winter
20,Jun 1844,10,506,6,3,spring
21,Aug 1844,10,479,7,3,spring
22,Oct 1844,6,472,5,3,summer
23,Dec 1844,10,475,4,3,fall
24,Feb 1844,6,258,3,3,fall
25,Apr 1845,10,256,4,3,winter
26,Jun 1845,6,259,2,3,spring
27,Aug 1845,2,262,4,3,spring
28,Oct 1845,10,235,3,3,summer
29,Dec 1845,10,223,2,3,fall
30,Feb 1845,10,211,2,3,fall
