round,date,food,money,morale,members,season
1,Apr 1841,100,500,80,4,spring
2,Jun 1841,92,515,76,4,spring
3,Aug 1841,76,530,74,4,spring
4,Oct 1841,60,525,70,4,summer
5,Dec 1841,44,550,57,4,fall
6,Feb 1841,28,555,51,4,fall
7,Apr 1842,7,543,48,4,winter
8,Jun 1842,10,541,49,4,spring
9,Aug 1842,18,539,43,4,spring
10,Oct 1842,2,537,42,4,summer
11,Dec 1842,10,535,39,4,fall
12,Feb 1842,2,533,32,4,fall
13,Apr 1843,10,511,27,4,winter
14,Jun 1843,6,519,19,3,spring
15,Aug 1843,10,492,16,3,spring
16,Oct 1843,10,465,14,3,summer
17,Dec 1843,14,458,13,3,fall
18,Feb 1843,2,456,10,3,fall
19,Apr 1844,10,429,22,3,winter
20,Jun 1844,10,417,20,3,spring
21,Aug 1844,2,425,16,2,spring
22,Oct 1844,10,413,15,2,summer
23,Dec 1844,10,406,14,2,fall
24,Feb 1844,10,199,12,2,fall
25,Apr 1845,10,187,10,2,winter
26,Jun 1845,6,180,8,1,spring
27,Aug 1845,2,173,7,1,spring
28,Oct 1845,10,146,7,1,summer
29,Dec 1845,14,139,6,1,fall
30,Feb 1845,18,132,4,1,fall
