round,date,food,money,morale,members,season
1,Apr 1841,100,500,80,5,spring
2,Jun 1841,80,535,75,5,spring
3,Aug 1841,68,560,71,5,spring
4,Oct 1841,56,590,67,5,summer
5,Dec 1841,36,605,62,5,fall
6,Feb 1841,16,645,57,5,fall
7,Apr 1842,15,670,53,5,winter
8,Jun 1842,10,668,49,5,spring
9,Aug 1842,10,661,41,5,spring
10,Oct 1842,10,639,38,5,summer
11,Dec 1842,10,617,33,5,fall
12,Feb 1842,10,625,27,5,fall
13,Apr 1843,10,598,23,5,winter
14,Jun 1843,10,571,21,5,spring
15,Aug 1843,6,579,19,5,spring
16,Oct 1843,10,552,16,5,summer
17,Dec 1843,10,525,12,5,fall
18,Feb 1843,14,518,9,5,fall
19,Apr 1844,10,506,7,5,winter
20,Jun 1844,10,479,6,5,spring
21,Aug 1844,10,452,6,5,spring
22,Oct 1844,6,445,5,5,summer
23,Dec 1844,10,418,3,5,fall
24,Feb 1844,10,191,3,5,fall
25,Apr 1845,10,184,2,5,winter
26,Jun 1845,10,167,2,5,spring
27,Aug 1845,10,150,2,5,spring
28,Oct 1845,6,143,1,5,summer
29,Dec 1845,10,116,1,5,fall
30,Feb 1845,10,89,1,5,fall
