round,date,food,money,morale,members,season
1,Apr 1841,100,500,80,5,spring
2,Jun 1841,83,535,85,5,spring
3,Aug 1841,74,550,85,5,spring
4,Oct 1841,49,555,85,5,summer
5,Dec 1841,32,560,85,5,fall
6,Feb 1841,7,565,75,5,fall
7,Apr 1842,10,600,55,5,winter
8,Jun 1842,10,625,35,5,spring
9,Aug 1842,10,618,15,5,spring
10,Oct 1842,10,601,0,5,summer
11,Dec 1842,10,584,0,5,fall
12,Feb 1842,10,557,0,5,fall
13,Apr 1843,10,530,0,5,winter
14,Jun 1843,10,513,0,5,spring
15,Aug 1843,10,496,0,5,spring
16,Oct 1843,10,469,0,5,summer
17,Dec 1843,10,452,0,5,fall
18,Feb 1843,10,435,0,5,fall
19,Apr 1844,10,428,0,5,winter
20,Jun 1844,10,401,0,5,spring
21,Aug 1844,10,394,0,5,spring
22,Oct 1844,10,392,0,5,summer
23,Dec 1844,10,365,0,5,fall
24,Feb 1844,10,138,0,5,fall
25,Apr 1845,10,111,0,5,winter
26,Jun 1845,10,84,0,5,spring
27,Aug 1845,10,67,0,5,spring
28,Oct 1845,10,40,0,5,summer
29,Dec 1845,10,13,0,5,fall
30,Feb 1845,0,16,0,5,fall
