round,date,food,money,morale,members,season
1,Apr 1841,200,500,80,5,spring
2,Jun 1841,191,530,85,5,spring
3,Aug 1841,174,545,85,5,spring
4,Oct 1841,149,560,90,5,summer
5,Dec 1841,132,585,90,5,fall
6,Feb 1841,107,620,90,5,fall
7,Apr 1842,77,640,90,5,winter
8,Jun 1842,52,705,90,5,spring
9,Aug 1842,35,735,95,5,spring
10,Oct 1842,10,750,85,5,summer
11,Dec 1842,1,765,75,5,fall
12,Feb 1842,10,770,55,5,fall
13,Apr 1843,10,770,35,5,winter
14,Jun 1843,10,768,15,5,spring
15,Aug 1843,10,781,0,5,spring
16,Oct 1843,10,779,0,5,summer
17,Dec 1843,10,767,0,5,fall
18,Feb 1843,10,740,0,5,fall
19,Apr 1844,10,723,0,5,winter
20,Jun 1844,10,711,0,4,spring
21,Aug 1844,10,684,0,4,spring
22,Oct 1844,10,672,0,4,summer
23,Dec 1844,10,645,0,4,fall
24,Feb 1844,10,438,0,4,fall
25,Apr 1845,1,451,0,4,winter
26,Jun 1845,10,439,0,4,spring
27,Aug 1845,10,437,0,4,spring
28,Oct 1845,10,425,0,4,summer
29,Dec 1845,10,413,0,4,fall
30,Feb 1845,10,396,0,4,fall
