round,date,food,money,morale,members,season
1,Apr 1841,100,500,80,5,spring
2,Jun 1841,83,525,85,5,spring
3,Aug 1841,58,545,90,5,spring
4,Oct 1841,33,575,95,5,summer
5,Dec 1841,8,595,90,5,fall
6,Feb 1841,10,600,70,5,fall
7,Apr 1842,10,610,50,5,winter
8,Jun 1842,1,670,40,5,spring
9,Aug 1842,10,688,25,5,spring
10,Oct 1842,10,656,5,5,summer
11,Dec 1842,10,639,0,5,fall
12,Feb 1842,10,612,0,4,fall
13,Apr 1843,10,585,0,4,winter
14,Jun 1843,10,573,0,4,spring
15,Aug 1843,6,556,0,4,spring
16,Oct 1843,10,539,0,4,summer
17,Dec 1843,6,542,0,4,fall
18,Feb 1843,10,550,0,4,fall
19,Apr 1844,9,553,0,4,winter
20,Jun 1844,5,546,0,4,spring
21,Aug 1844,10,519,0,4,spring
22,Oct 1844,10,507,0,3,summer
23,Dec 1844,3,500,0,3,fall
24,Feb 1844,10,283,0,3,fall
25,Apr 1845,10,266,0,3,winter
26,Jun 1845,3,269,0,3,spring
27,Aug 1845,10,252,0,3,spring
28,Oct 1845,3,255,0,3,summer
29,Dec 1845,10,238,0,3,fall
30,Feb 1845,3,241,0,3,fall
