round,date,food,money,morale,members,season
1,Apr 1841,100,500,80,5,spring
2,Jun 1841,80,515,87,5,spring
3,Aug 1841,60,530,89,5,spring
4,Oct 1841,40,535,97,5,summer
5,Dec 1841,20,540,97,5,fall
6,Feb 1841,10,535,79,5,fall
7,Apr 1842,10,535,62,5,winter
8,Jun 1842,10,560,46,5,spring
9,Aug 1842,6,580,41,5,spring
10,Oct 1842,10,568,23,5,summer
11,Dec 1842,14,576,21,5,fall
12,Feb 1842,10,554,3,5,fall
13,Apr 1843,10,527,0,5,winter
14,Jun 1843,10,510,0,5,spring
15,Aug 1843,6,528,0,5,spring
16,Oct 1843,10,501,0,5,summer
17,Dec 1843,10,494,0,5,fall
18,Feb 1843,10,477,0,5,fall
19,Apr 1844,10,440,0,5,winter
20,Jun 1844,10,428,0,5,spring
21,Aug 1844,10,421,0,5,spring
22,Oct 1844,10,394,0,5,summer
23,Dec 1844,10,367,0,5,fall
24,Feb 1844,10,140,0,5,fall
25,Apr 1845,10,128,0,5,winter
26,Jun 1845,10,101,0,5,spring
27,Aug 1845,6,124,0,5,spring
28,Oct 1845,6,117,0,4,summer
29,Dec 1845,10,90,0,4,fall
30,Feb 1845,2,98,0,4,fall
