round,date,food,money,morale,members,season
1,Apr 1841,200,500,80,5,spring
2,Jun 1841,180,525,84,5,spring
3,Aug 1841,160,550,91,5,spring
4,Oct 1841,140,575,100,5,summer
5,Dec 1841,120,590,100,5,fall
6,Feb 1841,100,595,100,5,fall
7,Apr 1842,75,620,100,5,winter
8,Jun 1842,55,645,100,5,spring
9,Aug 1842,35,640,100,5,spring
10,Oct 1842,15,660,90,5,summer
11,Dec 1842,15,665,84,4,fall
12,Feb 1842,10,650,64,4,fall
13,Apr 1843,10,635,44,4,winter
14,Jun 1843,10,633,38,4,spring
15,Aug 1843,10,631,32,4,spring
16,Oct 1843,10,609,12,4,summer
17,Dec 1843,10,622,10,4,fall
18,Feb 1843,2,615,2,4,fall
19,Apr 1844,10,588,0,4,winter
20,Jun 1844,2,596,0,4,spring
21,Aug 1844,2,589,0,4,spring
22,Oct 1844,10,562,0,4,summer
23,Dec 1844,10,560,0,4,fall
24,Feb 1844,10,363,0,4,fall
25,Apr 1845,10,336,0,4,winter
26,Jun 1845,2,344,0,4,spring
27,Aug 1845,10,327,0,4,spring
28,Oct 1845,10,320,0,4,summer
29,Dec 1845,10,313,0,4,fall
30,Feb 1845,10,306,0,4,fall
