round,date,food,money,morale,members,season
1,Apr 1841,100,500,80,4,spring
2,Jun 1841,84,515,87,4,spring
3,Aug 1841,68,530,92,4,spring
4,Oct 1841,52,545,97,4,summer
5,Dec 1841,36,570,100,4,fall
6,Feb 1841,20,585,100,4,fall
7,Apr 1842,10,585,80,4,winter
8,Jun 1842,2,645,77,4,spring
9,Aug 1842,10,645,60,4,spring
10,Oct 1842,2,685,57,4,summer
11,Dec 1842,2,710,55,4,fall
12,Feb 1842,18,715,53,4,fall
13,Apr 1843,5,720,50,4,winter
14,Jun 1843,10,705,32,4,spring
15,Aug 1843,2,703,29,4,spring
16,Oct 1843,10,681,9,4,summer
17,Dec 1843,10,654,0,4,fall
18,Feb 1843,10,627,0,4,fall
19,Apr 1844,10,600,0,4,winter
20,Jun 1844,2,573,0,4,spring
21,Aug 1844,10,556,0,4,spring
22,Oct 1844,10,539,0,4,summer
23,Dec 1844,2,532,0,4,fall
24,Feb 1844,2,325,0,4,fall
25,Apr 1845,10,298,0,4,winter
26,Jun 1845,2,306,0,4,spring
27,Aug 1845,2,309,0,4,spring
28,Oct 1845,10,282,0,4,summer
29,Dec 1845,10,255,0,4,fall
30,Feb 1845,10,248,0,4,fall
