round,date,food,money,morale,members,season
1,Apr 1841,100,500,80,4,spring
2,Jun 1841,84,535,91,4,spring
3,Aug 1841,68,550,96,4,spring
4,Oct 1841,60,545,99,4,summer
5,Dec 1841,44,550,99,4,fall
6,Feb 1841,36,565,100,4,fall
7,Apr 1842,5,590,90,4,winter
8,Jun 1842,10,610,71,4,spring
9,Aug 1842,2,630,67,4,spring
10,Oct 1842,2,650,62,4,summer
11,Dec 1842,2,655,59,4,fall
12,Feb 1842,10,640,42,4,fall
13,Apr 1843,10,618,22,4,winter
14,Jun 1843,2,626,16,4,spring
15,Aug 1843,10,599,0,4,spring
16,Oct 1843,10,572,0,4,summer
17,Dec 1843,10,545,0,4,fall
18,Feb 1843,10,543,0,4,fall
19,Apr 1844,10,531,0,3,winter
20,Jun 1844,10,519,0,3,spring
21,Aug 1844,10,492,0,3,spring
22,Oct 1844,10,465,0,3,summer
23,Dec 1844,6,458,0,3,fall
24,Feb 1844,10,251,0,3,fall
25,Apr 1845,9,244,0,3,winter
26,Jun 1845,17,237,0,2,spring
27,Aug 1845,17,230,0,2,spring
28,Oct 1845,9,223,0,2,summer
29,Dec 1845,1,216,0,2,fall
30,Feb 1845,10,189,0,2,fall
