round,date,food,money,morale,members,season
1,Apr 1841,100,500,80,4,spring
2,Jun 1841,84,530,88,4,spring
3,Aug 1841,68,535,91,4,spring
4,Oct 1841,52,540,99,4,summer
5,Dec 1841,36,555,100,4,fall
6,Feb 1841,20,560,100,4,fall
7,Apr 1842,10,550,80,4,winter
8,Jun 1842,10,570,61,4,spring
9,Aug 1842,2,590,54,4,spring
10,Oct 1842,2,620,51,4,summer
11,Dec 1842,2,640,46,4,fall
12,Feb 1842,2,670,43,4,fall
13,Apr 1843,10,648,28,4,winter
14,Jun 1843,10,636,20,4,spring
15,Aug 1843,10,659,8,4,spring
16,Oct 1843,10,632,0,4,summer
17,Dec 1843,2,640,0,4,fall
18,Feb 1843,10,613,0,4,fall
19,Apr 1844,10,596,0,4,winter
20,Jun 1844,10,579,0,4,spring
21,Aug 1844,10,552,0,4,spring
22,Oct 1844,2,545,0,4,summer
23,Dec 1844,10,508,0,4,fall
24,Feb 1844,10,291,0,4,fall
25,Apr 1845,10,264,0,4,winter
26,Jun 1845,10,277,0,4,spring
27,Aug 1845,10,280,0,4,spring
28,Oct 1845,10,263,0,4,summer
29,Dec 1845,2,266,0,4,fall
30,Feb 1845,10,249,0,4,fall
